adecuado	adequate, suitable
disparo	shot, discharge
divorcio	divorce
duelo	grief, affliction
encargo	job, order, errand
enfoque	focus, approach
escritorio	desk, bureau
espectro	ghost, specter
esplendor	splendor
estadio	stadium
evento	event
expediente	dossier, proceedings
fallo	mistake, blunder, fault
flujo	flow, tide, discharge
freno	brake
fundador	founder
gallo	rooster
gobernador	governor
heredero	heir, heiress
himno	hymn, anthem
insulto	insult
interlocutor	participant in a dialog
lecho	bed
lema	motto, slogan
lobo	wolf
mantenimiento	maintenance, sustenance
manto	cloak
mate	mate 
molde	mold, cast, pattern
oeste	West
pañuelo	handkerchief, shawl
parentesco	kinship
parto	birth
pasto	grass, pasture
perjuicio	damage, loss
planteamiento	proposal, exposition
polo	pole, polo, polo shirt
preso	imprisoned, confined 
préstamo	loan, borrowing
provecho	benefit, use
pulso	pulse, pulsation
puño	fist, handle, cuff
ratón	mouse, rat
realismo	realism
recorte	clipping, cutting, trimming
reglamento	regulations, rules
relieve; poner de relieve 		relief ; to emphasize
rendimiento	yield, output, efficiency
reposo	rest, peace
residuo	residue, waste
retraso	delay
ridículo	ridicule 
sillón	armchair, seat
sindicato	trade union
sobrino	nephew
temblor	tremor, shudder, shiver
teniente	lieutenant, deputy mayor
tercio	third 
titular	headline, holder 
trigo	wheat
umbral	threshold, outset
administrador	administrator, manager
embajador	ambassador
físico	physicist 
pescador	fisherman
coma	comma , coma 
abusar	to abuse
acarrear	to carry, result in, entail
acontecer	to happen, come about
agradar	to please
aguardar	to wait for, await
albergar	to lodge, harbor
alegar	to plead, argue
almorzar	to have lunch
alquilar	to rent, hire [also arrendar]
alumbrar	to light, illuminate
amanecer	to dawn, get light 
apelar	to call upon, appeal to
apostar	to wager, bet
arrepentir	to repent, regret
asaltar	to assault
asombrar	to amaze, astound
atrapar	to trap, catch
charlar	to chat, talk
complacer	to please, satisfy
complementar	to complement, supplement
conmover	to move, affect
consentir	to consent to, pamper
consolar	to console
consumar	to complete, carry out, consummate
contrastar	to contrast
coser	to sew
cuestionar	to question
dañar	to damage
derribar	to knock down, to demolish
derrumbar	to knock down, demolish
desbordar	to overflow, spill over
descomponer	to decompose, break down
desechar	to throw out
desencadenar	to unleash, unchain
desenvolver	to unwrap
deslizar	to slide, glide, slip
destrozar	to rip/break into pieces
disipar	to dispel, dissipate
dotar	to endow, bestow
embarcar	to embark, load
encarar	to front, confront
encarnar	to embody
enfocar	to focus
enfriar	to cool
entusiasmar	to fill with enthusiasm, excite
equivaler	to be equivalent, tantamount to
estirar	to stretch, strain
estrechar	to tighten, make closer
estrenar	to use for the first time, debut
explorar	to explore
extinguir	to extinguish, put out
filtrar	to seep, filter
florecer	to flower, bloom, flourish
fomentar	to foster, promote, encourage
fundir	to melt, cast, smelt
honrar	to honor
incitar	to incite
incrementar	to increase [also aumentar]
inscribir	to register, record [also registrar]
intercambiar	to exchange
interrogar	to question, interrogate
madurar	to mature, ripen
mojar	to make wet, dampen
morder	to bite
movilizar	to mobilize
mudar	to move, change
narrar	to narrate, tell
ofender	to offend
oscilar	oscillate
paralizar	to paralyze
parir	to give birth
pecar	to sin
predicar	to preach
prescindir	to do without
presenciar	to be present at, witness
profundizar	to deepen, analyze in depth
propiciar	to favor, foster, aid
radicar	to lie, be situated
ratificar	to ratify
reanudar	to renew, resume
recobrar	to recover, regain
recortar	to trim, cut off, clip
refugiar	to take shelter, give refuge
remover	to remove, stir
reprimir	to repress
reprochar	to reproach
resaltar	to emphasize
retornar	to return, give back [also devolver]
revivir	to revive
revolver	to stir, to make upset, to rummage through
sobrepasar	excel, out perform
sobresalir	to stand out, excel
subsistir	to subsist, survive
traicionar	to betray
traspasar	to go beyond, cross over
vaciar	to empty, pour out
verificar	to verify
acertado	correct, accurate
ágil	agile
agitado	agitated, irritated
agrario	agrarian, agricultural
alternativo	alternating, alternative
ambulante	traveling
amenazado	threatened
amistoso	friendly
apagado	turned off
arbitrario	arbitrary, high-handed
ardiente	passionate, ardent
atrapado	trapped
atrasado	behind, slow
audaz	audacious, bold
brasileño	Brazilian
cariñoso	affectionate
celeste	heavenly, sky-blue
celoso	jealous
clandestino	undercover, clandestine
coherente	coherent, connected
comprensible	understandable
comunitario	of the community
condicionado	conditioned
constitucional	constitutional
convincente	convincing 
criminal	criminal 
cuidadoso	careful, cautious
defensivo	defensive
descalzo	barefoot
deseable	desirable
desordenado	messy, confused
destruido	destroyed
detallado	detailed, thorough
dichoso	fortunate, happy
diminuto	diminutive, tiny, minute
dinámico	dynamic
disfrazado	disguised
efímero	ephemeral, short-lived
enterado	aware of
enterrado	buried
entusiasmado	enthused, excited
equivalente	equivalent 
espacial	spatial, space
estatal	state, government-owned
estéril	sterile, barren
estratégico	strategic
ético	ethical
expresivo	expressive
expreso	express, explicit
gigante	gigantic 
gráfico	graphic, explicit
grandioso	magnificent, grandiose
grosero	crude, rude, crass
holandés	Dutch
honrado	honest, respectable
hundido	buried, sunken
imprevisto	unforeseen, unexpected
incipiente	incipient, beginning
incomprensible	incomprehensible
indefinido	vague, indefinite
indiscutible	indisputable, unquestionable
indudable	unquestionable
inexplicable	unexplainable
infeliz	unhappy, unfortunate
inmerso	engrossed, immersed
inminente	imminent
inmóvil	immovable, motionless
inolvidable	unforgettable
inquietante	disquieting
invertido	reversed, inverted
irracional	irrational
justificado	justifiable, justified
latente	latent
lateral	side, lateral
liviano	light, frivolous
llamativo	striking
maldito	damned, wretched
matrimonial	matrimonial
mediocre	mediocre
minucioso	meticulous, thorough
mojado	wet
monótono	monotonous
necesitado	poor, needy
opaco	dull, opaque, heavy
óptimo	optimum
orientado	positioned, guided
paralizado	paralyzed
pasivo	passive
penal	penal
periodístico	journalistic
perpetuo	continual, perpetual
perteneciente	pertaining, belonging
peruano	Peruvian
perverso	perverse, wicked
pintoresco	picturesque
potencial	potential
precario	precarious
presidencial	presidential
primordial	fundamental, primary
proveniente,  procedente	coming from
publicitario	advertising
refinado	refined
reflejado	reflected
relevante	relevant, significant
republicano	republican
respetable	respectable
revuelto	confused, messed up
rosado	pink, rosy
ruidoso	noisy
rústico	rustic, rural
sanitario	health, sanitary, clean
semanal	weekly
sereno	serene, calm
silvestre	wild
solidario	united, jointly shared
sombrío	shady, dark, dismal
soviético	Soviet
súbito, repentino	sudden
suizo	Swiss
susceptible	susceptible
tenue	tenuous, flimsy
transitorio	transitory
veloz	fast, quick
adonde	to where
altamente	highly
ampliamente	widely
bruscamente	quickly, sharply
decididamente	decidedly, decisively
específicamente	specifically
extremadamente	extremely
independientemente	independently
íntimamente	intimately
mutuamente	mutually, each other
supuestamente	supposedly, allegedly
agradecido	grateful, thankful
retirado	retired, remote, secluded
cómplice	accomplice
delincuente	delinquent
gobernante	ruler, leader
interrogante	question, interrogator
noble	nobleman, noble 
rebelde	rebel, insurgent 
afueras	outskirts, suburbs
agitación	agitation, excitement
alerta	alert
amargura	bitterness, sorrow
apreciación	appreciation, assessment
aproximación	approximation
apuesta	wager, bet
bandeja	tray
barbaridad	atrocity
biografía	biography
bruja	witch, hag
burla	mockery, joke, trick
cadera	hip
calificación	evaluation, qualification
cancha	playing field, court
carcajada	hearty laughter, guffaw
cátedra	academic chair
ceja	eyebrow, brow
chimenea	chimney, fireplace
cima	summit, peak, top
colina	hill, slope
compensación	compensation
consigna	watchword, motto, slogan
constitución	constitution
contienda	contest, dispute
contribución	contribution 
cordillera	mountain range
cortesía	courtesy
corteza	bark, crust, rind, peel
cría	breeding, raising
densidad	density, thickness
dinámica	dynamics
elegancia	elegance, style
embajada	embassy
encuesta	poll, survey, inquiry
escultura	sculpture, carving
estatura	stature, height
estupidez, tontería	stupidity, stupid thing
eternidad	eternity
exageración	exaggeration
exploración	exploration
exportación	export, exportation
faena	task, job, performance
falla	flaw, failure
farmacia	pharmacy, drugstore
fatiga	fatigue
finca	property, estate
firmeza	firmness
fracción	fraction
fundación	foundation
furia	fury, rage
gala	gala 
ganancia	gain, profit
grabación	recording
ida	departure, first half of a trip
ilustración	illustration
imposibilidad	impossibility
imposición	imposition
imprenta	printing house
incorporación	inclusion, incorporation
indignación	indignation
integridad	integrity
jaula	cage, crate, playpen
leña	firewood
llanura	plain, prairie, plainness
longitud	length, longitude
maleta	suitcase, case
manta	blanket
marea	wave, tide, ebb
merced	favor, mercy
mierda	shit, crap, excrement
minoría	minority
narración	narration, account
niebla	fog
niñez	childhood, infancy
normalidad	normality
parcela	piece of property
parroquia	parish
pastilla	pill, capsule
patada	kick, punt
percepción	perception
perla	pearl
piedad	pity, mercy
plancha	electric iron, plate, sheet
presidencia	presidency
princesa	princess
procesión	procession
prohibición	prohibition
psicología	psychology
rebelión	rebellion
reconstrucción	reconstruction
resonancia	resonance, repercussion
sanción	sanction, approval, penalty
sede	headquarters, seat
sencillez	simplicity
sequía	drought
serpiente	snake
sinceridad	sincerity
superioridad	superiority
talla	size , stature
terraza	terrace, balcony
tertulia	get-together, meeting of friends
tira	strip, strap
tonelada	ton
transmisión	broadcast, transmission
transparencia	transparency, slide
validez	validity
vanguardia	vanguard, forefront
vejez	old age
verdura	vegetables, greenery
virgen	virgin 
abanico	range, handheld fan
aburrimiento	boredom
acercamiento	approach, approximation
acierto	good aim, guess, hit
adelanto, avance	advance, progress
aislamiento	isolation
ajuste	adjustment, settlement
alambre	wire
aliado	ally
alivio	relief, unburdening
altar	altar
amparo	protection, shelter
anhelo	longing, yearning
arranque	start, outburst, kick-start
arroyo	brook, stream, gutter
asco	disgust
atardecer	evening, dusk
atributo	attribute, quality
bastón	walking cane
bigote	mustache
a bordo 		on board
caudal	volume, abundance, fortune
chorro	stream, jet, spurt
clavo	nail, tack, peg
codo	elbow
colchón	mattress
collar	collar, necklace
comisario	commissioner, delegate
compás	rhythm, time, compass
comprador	buyer
conejo	rabbit
conocedor	expert, judge, connoisseur
consuelo	comfort, consolation
contorno	outline, perimeter, edge
convento	convent, monastery
corral	corral, yard
cuerno	horn, antler
desacuerdo	disagreement
deterioro	deterioration, damage
disparate	nonsense, blunder
egoísmo	selfishness
elogio	praise, eulogy, compliment
embarazo	pregnancy
emisor	transmitter, emitter
enlace	link, connection, bond
entierro	burial
entrenamiento	training
esqueleto	skeleton, framework
estallido	crash, outbreak, explosion
frasco	bottle, jar, flask
grueso	bulk, mass 
herido	wounded  
hígado	liver
intervalo	interval, gap
jovencito	young person
laberinto	maze, labyrinth
lapso	lapse
lío	mess, problem, bad situation
llanto	crying, weeping
mango	handle, mango
mármol	marble
mozo	waiter, youth, bellboy
ocio	leisure time
pilar	pillar, column
pino	pine tree
pleito	litigation, suit, dispute
productor	producer
protector	protector, defender
ramo	bunch of flowers, branch
reclamo	claim, complaint, protest
rencor	grudge, spite
repertorio	repertoire, list, index
resentimiento	resentment
riñón	kidney
rollo	roll, coil
rosario	rosary, beads, string
seguidor	follower, supporter, fan
seminario	seminar, seminary
sendero	foot path
sudor	sweat, perspiration
tablero	board, panel
tacto	sense of touch, feel
talón	heel, check, coupon, stub
tambor	drum
terremoto	earthquake
tinte	tint, dye
trago	drink, [a] swallow
traidor	traitor
trance	trance, fix, enrapture
trapo	rag, cloth
trastorno	confusion, trouble, upheaval
triángulo	triangle
truco	trick, ruse
veneno	poison, venom
volante	steering wheel
asesor	adviser, consultant
cocinero	cook
consejero	advisor, counselor
piloto	pilot, driver
portero	porter, doorkeeper, goalkeeper
senador	senator
servidor	servant
trabajador	hardworking 
lente	lens, [pl] glasses
aburrir	to bore, tire
acariciar	to stroke, fondle, caress
adornar	to adorn, to decorate
aferrar	to grasp, clutch
agravar	to aggravate, worsen
agrupar	to put in a group
aparentar	to give the appearance
apurarse, apresurarse		to hurry
argumentar	to argue, deduce
arrasar	to raze, ravage
articular	to articulate
atener	to abide by, comply with
calzar	to wear shoes
capturar	to capture
ceñir	to adhere to, fit tightly, encircle
chupar	to suck
circular	circular 
colar	to slip in [se]
concurrir	to coincide, concur, meet
condicionar	to condition, determine
configurar	to form, configure 
consagrar	to consecrate, establish
consolidar	to consolidate
constatar	to prove, verify
contagiar	to infect, infest
contradecir	to contradict, be inconsistent
coronar	to crown, top
debilitar	to weaken, debilitate
derramar	to shed, pour out
desafiar	to defy, stand up to
desfilar	to march, parade
despojar	to deprive, rob
devorar	to devour, consume
diluir	to dilute, weaken
disculpar	to excuse
dispersar	to disperse, scatter, spread
editar	to edit, publish, release
emocionar	to move, make/get excited
encabezar	to head, lead off
encaminar	to head for, guide
engendrar	to engender, beget
enlazar	to link, connect
entrevistar	to interview
espantar	to scare, frighten
evaluar	to evaluate, assess
evocar	to evoke, recall
expandir	to expand
fiar	to vouch for, confide, trust
fingir	to feign, pretend
fortalecer	to fortify
frecuentar	to frequent, visit
hervir	to boil
igualar	to equate, equalize
inquietar	to make uneasy, disturb
insultar	to insult, berate
interponer	to interpose, intervene
intuir	to sense
inundar	to flood, inundate
invocar	to invoke
latir	to beat 
liquidar	to liquidate, sell off
manipular	to manipulate, handle
obrar	to work, act
oscurecer	to get dark
ostentar	to flaunt, show off
palpar	to feel, touch, fondle
perdurar	to last, live on, endure
poblar	to populate, inhabit
predecir	to predict
prevalecer	to prevail
prosperar	to prosper, thrive
reaparecer	to reappear
rebajar	to lower, reduce, discount
regar	to water, irrigate
regular	to regulate, adjust 
reinar	to reign, prevail
rematar	to finish off, finish up
remediar	to heal, cure
repasar	to review, revise
replicar	to reply
restaurar	to restore, reinstate
retrasar	to delay, fall behind
reventar	to burst, puncture
sumergir	to submerge, plunge
sustentar	to maintain, support
titular	to title, call 
topar	to run into, bump into
torcer	to twist, bend, distort
trepar	to climb
vacilar	to vacillate, hesitate
vibrar	to vibrate, tremble
vincular	to connect, link, bind
anterior	previous, preceding
antiguo	old, ancient, former
bajo	under, underneath 
cada	each, every
capaz	capable, able
cierto	certain, sure, true
contrario	contrary, opposite
en cuanto a cuanto 		in terms of, regarding
cuyo	whose
demás	the rest, others
demasiado	too much, too many
derecho	right, justice, law 
distinto	distinct, different
enorme	enormous, vast
ese, esa 		that
este, esta 		this
al final final 		finally, in the end	
malo	bad
mayor	larger, older, main
medio	means, middle 
mejor	best, better 
menor	younger, youngest
menos	less, fewer
pasado	past, last 
pobre	poor
profundo	deep, profound
propio	own, proper, typical
real	royal, real, authentic
siguiente	following, next
solo	lonely, alone 
tal	such a
tanto	so much, so many
tercero	third
último	last, final
varios	several, various
verdadero	true, real
vivo	alive, bright
bastante	rather, fairly, quite a bit
alguno	some, someone
cualquier	any, anyone
ninguno	no, none, nobody
además	also, as well, besides
ahí, allí		there
allá	there, over there
antes	before
así	like that
atrás	behind
aún, todavía	still, yet
casi	almost, nearly
cerca	close, near
claro	of course, clearly 
cuando	when 
dentro  [also adentro]		inside		
después	after
durante	during, for 
encima	above, on top, in addition
entonces	so, then
fuera	out, outside, away
lejos	far away, far off
luego	later, afterwards
mal	badly 
muy	very, really
nunca	never, ever
pronto	soon, quick
quizás	perhaps, maybe
realmente	really, actually, in fact
si	if, whether
también	also
tampoco	neither, nor, either
tan	such, as, too, so
tarde	afternoon, evening 
todavía	still, yet [also aún]
a través 		across, over, through		
ya	already, still
él	he, [ellos] them 
lo	the 
aunque	although, even though
más	more
mientras	while, whereas, as long as
ni	not even, neither, nor
pero	but, yet, except
pues	then, well then
sino	but, except, rather
base	base, basis
cabeza	head 
cantidad	quantity, amount
cara	face, expression
carrera	career, course, race
clase	kind, class, order
condición	condition
cosa	thing
cuenta	bill, account
cuestión	question, matter
diferencia	difference
duda	doubt
edad	age
época	time, age, period
especie	kind, sort, species
experiencia	experience
falta	lack, shortage [also carencia]
familia	family
figura	figure
forma	form, shape, way
fuerza	strength, force, power
gente	people
gracia	thank you, grace, favor
guerra	war, warfare
historia	history, story
hora	hour, time 
idea	idea
imagen	image, picture
importancia	importance
ley	law, bill, rule
libertad	freedom, liberty
línea	line, course
luz	light
manera	way, manner 
mano	hand
medida ; a medida que		measure: to the extent		
mesa	table, board
muerte	death
necesidad	necessity, need
obra	work, book, deed
ocasión	opportunity, occasion
palabra	word
parte	part, portion
razón	reason
realidad	reality, actuality
relación	relationship, relation
respuesta	answer, reply
tierra	earth, land, ground
verdad	truth
vez	time 
vida	life
vista	view, sight
voz	voice
zona	area, zone 
acuerdo ; de acuerdo		accord: in agreement		
aire	air, wind, appearance
aspecto	aspect, appearance
cabo	end, bit
cambio	change
camino	road, route, path
campo	field, country
caso	case, occasion
centro	center, middle, downtown
conocimiento	knowledge
cuerpo	body
deber	should, to owe 
	day
dios	god, divinity
don	courtesy title , Mr., gift
efecto	effect
ejemplo	example
sin embargo, embargo 		nevertheless
esfuerzo	effort, endeavor
espacio	space, room
estado	state, condition, status
favor	favor, benefit
fondo	background, back, bottom
hecho	fact, happening
hombre	man, mankind, husband
interés	interest
juego	game, play, sport
lado	side
ladrón	thief
lugar	place, position
medio	half, middle 
mes	month
miedo, temor	fear
modo	way, manner 
momento	moment, time
movimiento	movement
objeto	object, thing
ojo	eye
papel	paper, role, part
parecer	to seem, look like 
partido	party, group, sports match
paso	step, pace
pesar	sorrow 
peso	peso , weight, load
pie	foot, base
poder	to be able to, can 
principio	beginning, principle
proceso	process, procedure
programa	program, plan
pueblo	people, village
punto	point, dot, period
respecto, con respecto a		respect, with regards to
resto	rest, remainder, leftover
saber	to know , find out 
santo	saint 
sentido	sense, feeling
servicio	service, helpfulness
siglo	century, age
sistema	system
suelo	ground, floor
tema	theme, subject, topic
tiempo	time , weather
trabajo	work, job, effort
valor	value, worth 
viaje	travel, trip
al frente: frente a frente 		facing; across from		
orden	order; sequence , religious 
ante	before, in the presence of
contra	against, opposite
desde	from, since
entre	between, among
hacia	toward, towards
hasta	until, up to, even 
según	according to
sobre	on top of, over, about
alguien	somebody, someone, anyone
cual	which, who, whom
cuál	which?
ello	it 
eso	that 
éste, ésta 		this one		
nada	nothing, not at all
nadie	nobody, anybody
qué	what?, which?, how !
quien	who, whom
quién	who?, whom?
acabar	to have just
aceptar	to accept
acercar	to come near
alcanzar	to reach, catch up with
aparecer	to appear
caer	to fall
cerrar	to close
comenzar, empezar	to start
comprender, entender	to understand
conseguir	to get, acheive
considerar	to consider
contar	to tell, count
convertir	to convert, change, become
crear	to create
creer	to believe, think
cumplir	to fulfill
decidir	to decide
decir	to tell, say
dejar	to let, leave
desarrollar	to develop
descubrir	to discover
detener	to stop, detain
dirigir	to direct, manage
echar	to throw
elegir	to choose, elect
empezar, comenzar	to begin, start
encontrar	to find
esperar	to wait, hope for, expect
evitar, prevenir	to avoid, prevent
existir	to exist
fijar	to set, fix, [se] notice
formar	to form
ganar	to win, earn
haber	to have 
hacer	to do, to make
importar	to matter, import
intentar	to try, attempt
levantar	to raise, lift
llegar	to arrive
llevar	to take, carry
lograr	to get, to manage to 
mantener	to keep, maintain
mostrar	to show
mover	to move, incite
nacer	to be born
observar	to observe, to notice
obtener	to obtain
ocupar	to occupy, use
ofrecer	to offer, present
oír	to hear
olvidar	to forget
partir	to leave, split
pasar	to pass, spend time
pedir	to ask for, request
perder	to lose, miss
poder	power 
poner	to put on
proponer	to propose
quedar	to remain, stay
realizar	to fulfill, carry out
recibir	to receive
reconocer	to recognize, admit
recordar, acordar		to remember, remind	
referir	to refer to, tell
sacar	to take out
salir, partir	to leave
seguir	to follow, to go on
señalar	to point out, signal
ser	being 
soler, acustombrar	to be accustomed to
subir	to go up
suceder	to happen
sufrir	to suffer, undergo
suponer	to suppose, assume
tocar	to touch, play an instrument
traer	to bring, carry
tratar	to try, treat, deal with
valer	to be worth, cost
volver	to turn, to return to a place
accesible	accessible
acelerado	accelerated, quick
acomodado	well-to-do, suitable
afín	related, similar
afortunado	fortunate
alarmante	alarming
andaluz	Andalusian
angustiado	anguished, distressed
angustioso	distressing
aplastado	crushed, flattened
árido	arid, dry
asombrado	amazed, bewildered
atroz	atrocious
bancario	bank, banking
bélico	warlike
bendito	blessed
bíblico	biblical
callejero	of the street
caprichoso	capricious, whimsical
carente	lacking, devoid
cerebral	cerebral
colorado	red, colored
combinado	combined
comprensivo	understanding 
confundido	confused
congelado	frozen
constructivo	constructive
contundente	decisive, blunt, forceful
cordial	cordial, friendly
corporal	of the body, corporal
crónico	chronic
decente	respectable, decent
desconcertado	disoriented, disconcerted
eclesiástico	ecclesiastical
elocuente	eloquent
entusiasta	enthusiastic
esporádico	sporadic
estadístico	statistical
exento	exempt, free
extra	extra
fértil	fertile, rich
frívolo	trivial, frivolous
frontal	frontal
geométrico	geometric
grotesco	grotesque, ridiculous
guerrero	warrior, warlike 
ilegal	illegal
ilimitado	unlimited
impecable	impeccable, faultless
implacable	relentless, implacable
imponente	impressive, magnificent
importado	imported
impreciso	imprecise
inestable	unstable, unsteady
inexistente	non-existent
ingenioso	ingenious, clever
inseguro	unsure, unsafe
inseparable	inseparable
institucional	institutional
íntegro	whole, entire, honest
involuntario	involuntary
irónico	ironic, mocking
irreal	unreal
irreversible	irreversible
laborioso	laborious, industrious
larguísimo	very long
llano	flat, level, plain
maligno	evil, malignant
melancólico	melancholy
minúsculo	minute, insignificant
mismísimo	very same
místico	mystical
monstruoso	monstrous
nítido	clear, clean, neat
nulo	void, null
ocasional	occasional, random
parlamentario	parliamentary
paterno	paternal
patriótico	patriotic
pedagógico	pedagogical, teaching
pequeñito	very small, tiny
persistente	persistent
piadoso	pious, devout, merciful
prematuro	premature
prestigioso	prestigious
presunto	alleged, presumed
previsible	foreseeable
prodigioso	prodigious, famous
provincial	provincial
recíproco	reciprocal
robusto	strong, robust, sturdy
rudo	rude, crude, coarse
sabroso	delicious, tasty
secular	secular, lay
séptimo	seventh
simultáneo	simultaneous
siniestro	sinister
sintético	synthetic
soberano	sovereign, self-assured
soberbio	proud, arrogant [also orgulloso]
sofisticado	sophisticated
sonriente	smiling
sumido	sunken, drowned
terrestre	earthly, of the earth
trascendental	momentous, transcendental
trascendente	transcendent
trasero	behind, back
vertiginoso	dizzying
vigoroso	vigorous, strong
abiertamente	openly
brevemente	briefly
debidamente	properly, duly
duramente	harshly, severely
espontáneamente	spontaneously
firmemente	firmly
largamente	for a long time, at length
parcialmente	partially
públicamente	publicly, in public
viceversa	vice versa
fiscal	district attorney, prosecutor 
gigante	giant 
idiota	idiot, dunce
abeja	bee
abstracción	abstraction
acera	sidewalk
adhesión	adherence
agonía	agony, grief
agresividad	aggressiveness
almohada	pillow
antena	antenna
araña	spider
audacia	boldness, audacity
autopista	freeway, motorway
bahía	bay
balanza	balance,  scale
batería	battery, gun deck
bodega	cellar, pantry, warehouse
caballería	cavalry, knighthood
cabina	cabin, cockpit
cabra	goat
cal	lime, whitewash
cautela	caution
cera	wax
clientela	customers, clients
complejidad	complexity
complicidad	involvement, complicity
concurrencia	coming together, participation
consistencia	consistency
conspiración	conspiracy
contestación	answer
convención	convention, assembly
cuenca	socket, basin, bowl
cueva	cave
decena	ten 
decepción	disappointment, disenchantment
decoración	decoration
delicadeza	gentleness, tenderness
denominación	name, denomination
descarga	unloading, discharge
desilusión	disappointment, letdown
despedida	goodbye, farewell
destreza	skill
detención	detention, arrest
dicha	fortune, happiness, luck
diligencia	diligence
disculpa	apology, excuse
distracción	distraction, amusement
diversidad	diversity, variety
edificación	construction, building
eficiencia	efficiency
elevación	rise, elevation, increase
emisión	broadcast, emission
entrañas	insides, bowels
envergadura	breadth, expanse
equivocación	mistake, misconception
espuma	foam, lather
estampa	print, engraving, illustration
estética	aesthetics
euforia	euphoria, elation
exhibición	exhibition, showing
expulsión	expulsion, ejection
fabricación	manufacture, production
facción	face feature, faction
factura	invoice, bill
fiera	wild beast
flecha	arrow, dart
frialdad	coldness, indifference
gama	range, musical scale
garra	claw, fang
gratitud	gratitude
grieta	crack, opening, slit
hectárea	hectare
higiene	hygiene
hormiga	ant
hostilidad	hostility, enmity
impotencia	impotence
incidencia	incidence, impact
incursión	invasion, incursion
inundación	flood, deluge
inyección	shot, injection
jugada	move, play
latitud	latitude
lesión	injury, wound, harm
libra	pound 
librería	bookstore
limosna	alms, charity
maldad	evil, wickedness
maldición	damnation, curse
manía	obsession, mania
matanza	slaughter, carnage
mejilla	cheek
metáfora	metaphor
modalidad	mode, manner
navaja	razor, blade, navaja
navegación	navigation, shipping
nobleza	nobility, uprightness
obediencia	obedience
ocurrencia	idea, witty remark
olla	pot, kettle
órbita	orbit, socket, field
pala	shovel
partícula	particle
penetración	penetration, insight
penumbra	semidarkness, twilight
pinta	pint, aspect, dot
piscina	swimming pool
pólvora	gunpowder, powder
prevención	prevention, warning
prioridad	priority
procedencia	origin, source
prolongación	extension
prosa	prose
pugna	battle, struggle
puta	whore, prostitute
recompensa	reward, recompense
reivindicación	claim, demand, redemption
repercusión	repercussion, impact
resignación	resignation, acceptance
restricción	restriction
rigidez	rigidity
senda	path, lane
servidumbre	staff of servants, servitude
significación	meaning, significance
sirena	siren, mermaid
soberanía	sovereignty
sobra	excess, surplus, leftover
tasa	rate, fee, levy
toalla	towel
torta	cake
tregua	truce, rest
vara	rod, stick
vecindad	nearness, vicinity
ventanilla	vehicle window, box office
vereda	path, sidewalk
acta	meeting proceedings, minutes
adjetivo	adjective
admirador	admirer
agradecimiento	gratitude, gratefulness
apuro	trouble, predicament
artefacto	artifact, device
asilo	asylum, shelter
astro	star 
atentado	attack, offense
bachillerato	high school diploma
banquete	banquet, feast
bicho	bug, creature
buey	ox
burro	donkey
caldo	broth, bouillon, soup
campeón	champion
caramelo	piece of candy, caramel
centavo	cent
cerco	fence, circle, ring
chiquillo	kid, youngster
coco	coconut
cohete	rocket
comando	command, order
complemento	complement, supplement
comunismo	communism
convencimiento	convincing 
cordón	cord, yarn, braid
cráneo	skull, cranium
delirio	delirium, nonsense
desconcierto	disorder, chaos
descuido	neglect, oversight
desenlace	outcome, result
desequilibrio	imbalance, unsteadiness
desperdicio	waste, refuse, garbage
despliegue	deployment, display
diamante	diamond
dictador	dictator
emperador	emperor
encaje	lace
enigma	enigma, mystery
ente	entity, being, firm
entretenimiento	entertainment
equivalente	equivalent 
escaparate	showcase, display window
escrito	manuscript, writing
fósforo	match, match stick
gabinete	cabinet, den, office
ganador	winner
gusano	worm, caterpillar
hueco	hollow 
incremento	increase, raise
infinito	infinite, infinity 
intermedio	means, interval 
jinete	rider, horseman
lomo	back, loin, spine
martillo	hammer
medicamento	medicine, drug
micrófono	microphone
molino	mill, windmill
mosaico	mosaic
muelle	wharf, dock
muslo	thigh
olfato	sense of smell
oso	bear
oxígeno	oxygen
pabellón	pavilion, sports hall
padrino	godparent, sponsor
paraje	place, spot
paréntesis	parenthesis, digression
pasajero	fleeting, transitory 
pato	duck
peón	unskilled laborer, field hand
periodismo	journalism
pionero	pioneer
precedente	precedent
profeta	prophet
puñado	fistful, small group
rancho	ranch, farm
rebaño	herd, flock
recelo	mistrust, suspicion
recipiente	container, recipient, tank
reproche	reproach, criticism
rescate	rescue, ransom
retiro	withdrawal, retreat
retroceso	movement backwards
roce	brush, rubbing, contact
rol	role
sargento	sergeant
soporte	support, endorsement
sótano	basement
tanque	tank, large container
tejado	roof, housetop
temperamento	temperament, personality
tenor	meaning, sense, tenor
tranvía	trolley, tram, streetcar
trazo	line, stroke
trono	throne
vaivén	swinging, rocking
vegetal	plant, vegetable 
velo	veil
vestuario	wardrobe, changing room
volcán	volcano
bailarín	dancer
cirujano	surgeon
diplomático	diplomat 
guerrero	warrior, soldier 
marinero	sailor
cólera	rage , cholera 
cometa	comet , kite 
editorial	publisher , editorial article 
acatar	to comply with, abide by
adentrar	to penetrate, go inside
adherir	to adhere, attach
aflojar	to loosen
alarmar	to alarm
alertar	to alert, warn
alojar	to host, accommodate
andar	walk, gait, pace 
asentir	to assent, agree
aventurar	to venture, risk
bordear	to border
conferir	to confer
decaer	to decay, wane
demandar	to claim, sue
descifrar	to decipher
desesperar	to despair, lose hope
